slug,name,region,price_twd,plan_type,hotspot,source_url,last_verified,page_url
airalo,Airalo,全球通用 / 日韓歐美,NT$ 150 ～ 980 元,固定流量型（1GB/3GB/5GB/10GB）,支援（不限設備）,https://www.airalo.com/,2026-09-04,https://esim.ampm-aiops.com/items/airalo/
airhub,Airhub,全球 190+ 國,"NT$ 60 ～ 1,150 元（全球 1GB/7 天 US$4.99、25GB 月租 US$36）",固定流量型為主（1GB~25GB）＋長期月租型；無真正吃到飽,支援；另有獨家「數據池共享」可多裝置多人共用同一份流量,https://www.airhubapp.com/,2026-09-04,https://esim.ampm-aiops.com/items/airhub/
bnesim,BNESIM,全球 175+ 國,"NT$ 21 ～ 16,000+ 元（方案 US$0.65~502，整體屬高價位）",固定流量型（含永久不過期長效方案）＋無限流量型＋門號語音組合,無限方案不支援；固定流量方案依評測可支援，官方未逐方案公告,https://www.bnesim.com/,2026-08-27,https://esim.ampm-aiops.com/items/bnesim/
djb-unlimited,DJB 暢日卡,日本 / 韓國,NT$ 290 ～ 850 元,真吃到飽（不降速）,支援（建議自用）,https://djbcard.com/,2026-08-25,https://esim.ampm-aiops.com/items/djb-unlimited/
firsty,Firsty,免費層：北美/歐洲/亞太；付費層 170 國同一價,免費層 NT$0（看廣告換連線）；Classic 每 GB 約 36 元起；Unlimited 每日約 74 元起,免費層＝每日重置 300MB 低速；Classic＝固定流量；Unlimited＝每日重置吃到飽,免費層不可（官方明示需升級付費）；付費方案可以,https://www.firsty.app/,2026-08-27,https://esim.ampm-aiops.com/items/firsty/
flexiroam,Flexiroam,全球 150+ 國（全球包/分區包/單國包）,NT$ 192 元起（100MB/10 天 US$5.99；1GB/90 天約 US$29.99＝近千元，偏貴）,固定流量制為主（效期 3~365 天）＋部分地區吃到飽,多數方案支援（吃到飽允許但不可跨帳號共享流量）,https://flexiroam.com/,2026-08-27,https://esim.ampm-aiops.com/items/flexiroam/
gigsky,GigSky,全球約 190 國 / 獨家郵輪海上方案,"NT$ 128 ～ 2,300+ 元（日本 1GB/7 天 US$4.99；冷門國家與郵輪包更貴）",固定流量型＋吃到飽型（每日高速額度制）＋郵輪海上專用方案,支援，無硬性上限,https://www.gigsky.com/,2026-08-27,https://esim.ampm-aiops.com/items/gigsky/
holafly,Holafly,歐美 / 日本 / 全球,"NT$ 590 ～ 1,890 元",全天數無限吃到飽,❌ 不支援（鎖熱點）,https://holafly.com/,2026-09-04,https://esim.ampm-aiops.com/items/holafly/
instabridge,Instabridge,全球多國（App 內購買各國方案）,NT$ 64 元起（1GB 約 US$2；10GB/30 天約 US$12）,固定流量制（部分方案流量不過期）；無吃到飽,支援（官方稱最多可分享 10 台裝置）,https://instabridge.com/,2026-08-27,https://esim.ampm-aiops.com/items/instabridge/
jetpac,Jetpac,全球 100+ 國,NT$ 220 ～ 890 元,跨國天數包 / 流量包,支援,https://www.jetpacglobal.com/,2026-08-25,https://esim.ampm-aiops.com/items/jetpac/
