slug,name,tw_eligible,trade_fee,min_deposit,idle_fee,source_url,last_verified,page_url
charles-schwab,Charles Schwab 嘉信理財（國際帳戶）,可。Schwab One International，開戶接受台灣身分證,美股/上市 ETF 線上 US$0,"個人/聯名國際帳戶無最低開戶入金（US$25,000 門檻為嘉信香港實體規定，非台灣適用）",無帳戶管理費/閒置費,https://international.schwab.com/pricing,2026-09-03,https://broker.ampm-aiops.com/items/charles-schwab/
firstrade,Firstrade 第一證券,可。台灣居民全線上開國際帳戶，中文開戶流程,股票/ETF/期權 US$0 佣金,無最低存款,無閒置費,https://www.firstrade.com/content/zh-tw/pricing,2026-09-04,https://broker.ampm-aiops.com/items/firstrade/
interactive-brokers,Interactive Brokers 盈透證券（IBKR）,可。台灣居民線上開戶（一般隸屬 IBKR 美國 LLC）,IBKR Pro 固定式 US$0.005/股、每筆最低 US$1；IBKR Lite 零佣金台灣居民不適用,無最低入金,無（2021 已取消月低消）,https://www.interactivebrokers.com/cn/pricing/commissions-stocks.php,2026-09-04,https://broker.ampm-aiops.com/items/interactive-brokers/
td-ameritrade-schwab,TD Ameritrade（已併入嘉信）,不再受理。2024/5/10 起全帳戶移轉 Schwab，TD 品牌停止散戶服務,N/A（依 Schwab）,N/A,N/A,https://international.schwab.com/,2026-09-03,https://broker.ampm-aiops.com/items/td-ameritrade-schwab/
tiger-brokers,Tiger Brokers 老虎證券（新加坡）,可。外國人身分開老虎新加坡（MAS 監管）帳戶，App 全線上,佣金 US$0.005/股（最低 US$0.99）＋平台費 US$0.005/股（最低 US$1）＝每筆最低約 US$1.99,無實質門檻（SG 行銷頁標最低入金 S$1 起）,官方聲明不收閒置費（集團FAQ，SG站牌告頁未列此項，一致）,https://www.itiger.com/sg/commissions,2026-09-04,https://broker.ampm-aiops.com/items/tiger-brokers/
webull,Webull 微牛證券,不可。美國版要求美國居住地址＋SSN＋公民/綠卡/美簽；各海外實體亦要求當地居民，無台灣管道,N/A,N/A,N/A,https://www.webull.com/help/faq/343-I-am-a-US-resident-What-requirements-do-I-need-to-meet-in-order-to-open-a-brokerage-account-on-Webull,2026-09-04,https://broker.ampm-aiops.com/items/webull/
etoro,eToro,可。台灣居民線上註冊,現股開/平倉每次 US$1 或 US$2（多數美股 US$2）；CFD 有點差,"首次入金依國家（官方區間 US$10~10,000；台灣多方來源載 US$50",官方費用頁標示 Inactivity fee: Free,https://www.etoro.com/trading/fees/,2026-09-04,https://broker.ampm-aiops.com/items/etoro/
moomoo,moomoo（富途新加坡）,可。海外居民（含台灣）以護照＋地址證明開 moomoo SG（MAS 監管）,US$0.99/order平台費（佣金$0）,無最低入金,官方美股費用頁未列此項（SG股有季度託管費SGD2/季但已豁免，非美股項目）,https://www.moomoo.com/sg/support/topic5_395,2026-09-04,https://broker.ampm-aiops.com/items/moomoo/
ctbc-sub-brokerage,中國信託證券 複委託（台灣對照組）,可。台灣本地券商線上開戶,美股定期定額買進 0.2% 無低消；一般複委託單筆最低 US$35,,,https://www.ctbcsec.com/2020/n3-subbrokerage/pdf/%E4%B8%AD%E5%9C%8B%E4%BF%A1%E8%A8%97%E7%B6%9C%E5%90%88%E8%AD%89%E5%88%B8%E5%8F%97%E8%A8%97%E8%B2%B7%E8%B3%A3%E5%A4%96%E5%9C%8B%E8%82%A1%E7%A5%A8%E6%94%B6%E8%B2%BB%E6%A8%99%E6%BA%96.pdf,2026-09-04,https://broker.ampm-aiops.com/items/ctbc-sub-brokerage/
yuanta-sub-brokerage,元大證券 複委託（台灣對照組）,可。台灣本地券商線上開戶,作業手冊揭露：手續費與通路報酬合計上限為成交金額 5%；市場流傳買進每筆 0.1%（最高 US$1 封頂）、賣出 0.1%,,,https://www.yuanta.com.tw/eyuanta/webfile/resourcesFile/b1348f0b-7243-4ae8-9f9d-fd8e87167a0c.pdf,2026-09-04,https://broker.ampm-aiops.com/items/yuanta-sub-brokerage/
