slug,name,kind,type,fee_or_price,twd_channel,source_url,last_verified,page_url
bitget,Bitget,exchange,國際,現貨 Maker/Taker 皆 0.10%（用 BGB 付手續費折 20%）；合約 Maker 0.02%／Taker 0.06%（一般用戶）,無台幣銀行直接出入金；多透過第三方支付/P2P 換 USDT 轉入，場外風險自負,https://www.bitget.com/academy/245,2026-09-03,https://crypto.ampm-aiops.com/exchanges/bitget/
bitopro,BitoPro（幣託科技）,exchange,本土,VIP0 現貨約 Maker 0.1% / Taker 0.2%（BITO 支付享 8 折）,台幣入金免費、遠東商銀信託保管；出金銀行電匯，非 C2C,https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0%2C2&mcustomize=news_view.jsp&dataserno=202509220001&dtable=News,2026-09-03,https://crypto.ampm-aiops.com/exchanges/bitopro/
bybit,Bybit,exchange,國際,VIP0 現貨 Maker/Taker 皆 0.1%（VIP 最低 0.005%/0.015%）,不支援台幣銀行入金；靠加密轉帳、P2P 或信用卡購幣,https://www.bybit.com/zh-TW/help-center/article/Trading-Fee-Structure,2026-09-04,https://crypto.ampm-aiops.com/exchanges/bybit/
coinbase,Coinbase,exchange,國際,一般介面約 2% 上下（依方式與金額分級；Advanced 介面較低）；信用卡購幣約 3.99%,無台幣出入金；台灣用戶僅能信用卡/簽帳卡買（不能賣回台幣），或本土所換穩定幣轉入,https://help.coinbase.com/en/coinbase/trading-and-funding/pricing-and-fees/fees,2026-09-03,https://crypto.ampm-aiops.com/exchanges/coinbase/
gate-io,Gate.io,exchange,國際,現貨基礎費率 Maker/Taker 約 0.20%（不同來源亦見報 0.10%，以官網當下頁面為準）；依 17 階 VIP／GT 持倉遞減，最高可到 Maker 0%／Taker 0.02%,無台幣銀行直接出入金；多透過第三方支付/P2P 換 USDT 轉入，場外風險自負,https://www.gate.com/global-market-maker-program,2026-09-03,https://crypto.ampm-aiops.com/exchanges/gate-io/
hoya-bit,HOYA BIT（禾亞數位科技）,exchange,本土,現貨買賣以價差方式收費，內含約 0.2%–0.5% 支付處理費（賣出加密貨幣收台幣、買入收加密貨幣）；官方獨立費率頁未能直讀，具體級距引自 support.hoyabit.com 說明 ⚠ 上架前需官網二次核對,台幣出入金走銀行電匯；入金 HOYA BIT 本身不收費，銀行端另計轉帳費約 NT$15 起（綁定合作銀行可省）,https://support.hoyabit.com/transaction/%E4%BA%A4%E6%98%93%E6%89%8B%E7%BA%8C%E8%B2%BB%E5%A4%9A%E5%B0%91%EF%BC%9F-2/,2026-09-02,https://crypto.ampm-aiops.com/exchanges/hoya-bit/
kraken,Kraken,exchange,國際,標準介面 Taker 約 0.26%；Kraken Pro 依 30 天量分級大幅較低,不支援台幣、無 C2C、不可台灣信用卡購台幣幣；美元靠 SWIFT/Wise（實測約 US$20 總成本）,https://www.kraken.com/features/fee-schedule,2026-09-04,https://crypto.ampm-aiops.com/exchanges/kraken/
kucoin,KuCoin,exchange,國際,現貨 Maker/Taker 皆 0.10%（用 KCS 付手續費折至 0.08%），依 30 天量／VIP 分級遞減,無台幣銀行直接出入金；多透過第三方支付/P2P 換 USDT 轉入，場外風險自負,https://www.kucoin.com/blog/Full-KuCoin-Review,2026-09-03,https://crypto.ampm-aiops.com/exchanges/kucoin/
max-maicoin,MAX（現代財富科技／MaiCoin）,exchange,本土,一般會員現貨 Maker/Taker 約 0.05%–0.08% / 0.15%–0.16%（依方案，MAX Token 折抵最高 5 折）,台幣出入金走銀行電匯/約定帳戶（本土持照管道），非 C2C,https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0%2C2&mcustomize=news_view.jsp&dataserno=202509220001&dtable=News,2026-09-03,https://crypto.ampm-aiops.com/exchanges/max-maicoin/
okx,OKX 歐易,exchange,國際,VIP0 約 0.08%/0.1% 區間,無台幣 P2P、無台幣銀行出入金；多鏈上提到本土所換回台幣,https://www.okx.com/zh-hant/fees,2026-09-03,https://crypto.ampm-aiops.com/exchanges/okx/
pionex,Pionex 派網,exchange,國際,"現貨 Maker/Taker 皆 0.05%（一般會員與VIP同價，VIP門檻為帳戶資產逾US,000）；網格交易機器人手續費另計",,https://www.sfb.gov.tw/ch/home.jsp?id=1053&parentpath=0%2C8%2C1053,2026-09-03,https://crypto.ampm-aiops.com/exchanges/pionex/
twex,TWEX（台灣大虛擬資產交易所／富昇數位）,exchange,本土,交易手續費約 1.5%、預先儲值手續費約 1.2%（定期定額單筆滿 NT$100 可享免手續費優惠）⚠ 費率未見官方獨立頁面公告，引自第三方教學文，上架前需二次核對,台幣資金信託台北富邦銀行管理；⚠ 無獨立官方網站，僅能透過「台灣大哥大 App」或「富邦證券 App」內建入口註冊與交易,https://corp.taiwanmobile.com/press-release/news/press_20260105_596379.html,2026-09-02,https://crypto.ampm-aiops.com/exchanges/twex/
xrex,XREX（鏈科）,exchange,本土,交易手續費依 VIP 交易量分級，介於 0.05%–0.2% 之間；可加入「俱樂部」與他人共同累積交易量換取折扣 ⚠ 官網費率頁未能直讀，上架前需二次核對,同時支援台幣與美元／美元穩定幣出入金，台幣資金與遠東銀行合作信託,https://xrex.io,2026-09-02,https://crypto.ampm-aiops.com/exchanges/xrex/
zone-wallet,ZONE Wallet（拓荒數碼科技）,exchange,本土,官方宣稱交易手續費約 0.01%，但買賣報價另含約 1% 價差（spread）⚠ 兩者需一併看才是實際成本，未見官方獨立費率頁，上架前需二次核對,支援台幣出入金；入金 ZONE Wallet 本身不收費（銀行轉帳費另計），出金銀行手續費固定 NT$30,https://zonewallet.io,2026-09-02,https://crypto.ampm-aiops.com/exchanges/zone-wallet/
binance,幣安 Binance,exchange,國際,VIP0 現貨 Maker/Taker 皆 0.100%（BNB 折扣、30 天量分級）,無台幣銀行直接出入金；多透過第三方支付/P2P 換 USDT 轉入，場外風險自負,https://www.binance.com/zh-TC/fee/schedule,2026-09-03,https://crypto.ampm-aiops.com/exchanges/binance/
coolwallet-pro-s,CoolWallet Pro / S（台灣 CoolBitX）,wallet,硬體,"Pro US$149（官網台幣約 NT$4,679）／S US$99（約 NT$3,100）／Go US$69.99",**台灣本土品牌**：官網台幣直購＋台灣保固（本地優勢）,https://www.coolwallet.io/,2026-09-04,https://crypto.ampm-aiops.com/wallets/coolwallet-pro-s/
ledger-nano-s-plus,Ledger Nano S Plus,wallet,硬體,官方 US$59（ledger.com 直營 Matte Black 款，schema.org 商品資料實測；台灣無官方直營，留意運費關稅）,官網或官方認證經銷（ledger.com/reseller 查詢）,https://shop.ledger.com/products/ledger-nano-s-plus,2026-08-29,https://crypto.ampm-aiops.com/wallets/ledger-nano-s-plus/
ledger-nano-x,Ledger Nano X,wallet,硬體,官方 US$79（ledger.com 直營 Onyx Black 款，schema.org 商品資料實測）,同官方 reseller,https://shop.ledger.com/products/ledger-nano-x,2026-08-29,https://crypto.ampm-aiops.com/wallets/ledger-nano-x/
ledger-stax,Ledger Stax,wallet,硬體,官方 US$399（ledger.com 直營「Stax + Recovery Key」組合款，schema.org 商品資料實測）,同官方通路,https://shop.ledger.com/products/ledger-stax,2026-08-29,https://crypto.ampm-aiops.com/wallets/ledger-stax/
metamask,MetaMask,wallet,軟體,免費（App 內 Swap/Bridge 收費）,僅認官方商店版本，開發者須為 ConsenSys,https://metamask.io/security,2026-08-29,https://crypto.ampm-aiops.com/wallets/metamask/
onekey-classic-1s,OneKey Classic 1S,wallet,硬體,約 US$70–79（另有 Pure 無電池版、1S Duo 雙晶片版,台灣授權經銷 TRUE NODE（truenode.xyz）或官網直購,https://onekey.so/products/onekey-classic-1s-hardware-wallet/,2026-09-04,https://crypto.ampm-aiops.com/wallets/onekey-classic-1s/
rabby-wallet,Rabby Wallet（DeBank）,wallet,軟體,免費,僅認 Chrome 商店官方頁（開發者 DeBank）,https://rabby.io/,2026-08-29,https://crypto.ampm-aiops.com/wallets/rabby-wallet/
trezor-safe-3,Trezor Safe 3,wallet,硬體,官方 US$59（原 $79 已調降）,,https://trezor.io/trezor-safe-3,2026-08-29,https://crypto.ampm-aiops.com/wallets/trezor-safe-3/
trezor-safe-5,Trezor Safe 5,wallet,硬體,官方 US$129,,https://trezor.io/trezor-safe-5,2026-08-29,https://crypto.ampm-aiops.com/wallets/trezor-safe-5/
trust-wallet,Trust Wallet,wallet,軟體,免費,僅認官方商店版本,https://trustwallet.com/blog/crypto-basics/the-lifecycle-of-a-seed-phrase-in-trust-wallet-why-it-is-your-most-valuable-asset-and-how-to-protect-it,2026-08-29,https://crypto.ampm-aiops.com/wallets/trust-wallet/
