slug,name,issuer,annual_fee,cashback,revolving_rate,cash_advance_fee,source_url,last_verified,page_url
ctbc-linepay,中信 LINE Pay卡,中國信託商業銀行,綁定 LINE Pay 終生免年費,國內 1%、國外 2.8% LINE Points,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-25,https://cards.ampm-aiops.com/items/ctbc-linepay/
ctbc-7eleven,中國信託 7-ELEVEN聯名卡,中國信託商業銀行,首年免，次年消費6次即免,7-ELEVEN消費最高3%icash回饋。國內1%。超商繳費0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-7eleven/
ctbc-allme,中國信託 ALL ME卡,中國信託商業銀行,"NT$1,800，首年免。終身免年費：綁電子帳單/Hami Pay/Pi拍/LINE官方帳號/自扣，任一即免",國內1%、國外2.2%現金回饋無上限。指定電信/電商最高8%、餐飲/百貨（綁Pi拍/Hami Pay）最高6%。悠遊卡交通5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-allme/
ctbc-amazon,中國信託 Amazon聯名卡,中國信託商業銀行,首年免，次年消費6次即免,Amazon.com消費最高3%回饋。指定海外通路2%。國內1%無上限,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-amazon/
ctbc-costco,中國信託 Costco 聯名卡,中國信託商業銀行,首年免，次年消費 1 次免,Costco 消費 1% 回饋金、加油 1.5%、一般 0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-costco/
ctbc-debit,中國信託 Debit金融卡,中國信託商業銀行,免年費,國內0.2%。國外0.5%。中信帳戶搭配偶有活動,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-debit/
ctbc-jcb,中國信託 JCB晶緻卡,中國信託商業銀行,首年免，次年消費3次即免,日本消費3%。國內1%。JCB會員專屬活動,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-jcb/
ctbc-linepay-basic,中國信託 LINE Pay卡 一般版,中國信託商業銀行,免年費,LINE POINTS基本1%。LINE Pay消費加碼最高3%。新戶首2月5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-linepay-basic/
ctbc-foodpanda,中國信託 foodpanda聯名卡,中國信託商業銀行,"NT$1,800，首年免。電子帳單/年消費6萬/12次即免",foodpanda訂餐最高10%現金回饋。國內一般消費1%無上限。國外2%。綁行動支付/網購最高3%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-foodpanda/
ctbc-cpc,中國信託 中油聯名卡,中國信託商業銀行,"NT$1,800，首年免。年消費6萬或12次即免",中油加油最高3%回饋（基本1%+加碼2%）。國內一般消費0.5~1%。綁自動扣繳中油加油享額外折扣。高速公路ETC通行費1%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-cpc/
